Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Tridents,Zouks,Tridents,17 runs,Bridgetown,"Jul 30, 2013",T20
Amazon,Red Steel,Amazon,19 runs,Providence,"Jul 31, 2013",T20
Tridents,Hawksbills,Tridents,12 runs,Bridgetown,"Aug 1, 2013",T20
Amazon,Tallawahs,Amazon,8 wickets,Providence,"Aug 2, 2013",T20
Tridents,Red Steel,Tridents,4 wickets,Bridgetown,"Aug 3, 2013",T20
Hawksbills,Tallawahs,Tallawahs,7 wickets,Providence,"Aug 4, 2013",T20
Amazon,Zouks,Zouks,5 wickets,Providence,"Aug 4, 2013",T20
Zouks,Hawksbills,Hawksbills,33 runs,Gros Islet,"Aug 6, 2013",T20
Red Steel,Tallawahs,Tallawahs,5 runs,Port of Spain,"Aug 7, 2013",T20
Zouks,Tridents,Tridents,83 runs,Gros Islet,"Aug 8, 2013",T20
Red Steel,Amazon,Red Steel,3 runs,Port of Spain,"Aug 9, 2013",T20
Zouks,Tallawahs,Tallawahs,6 wickets,Gros Islet,"Aug 10, 2013",T20
Tridents,Amazon,Amazon,27 runs,Port of Spain,"Aug 11, 2013",T20
Red Steel,Hawksbills,Red Steel,1 run,Port of Spain,"Aug 11, 2013",T20
Hawksbills,Tridents,Hawksbills,5 wickets,North Sound,"Aug 13, 2013",T20
Tallawahs,Amazon,Amazon,5 runs,Kingston,"Aug 15, 2013",T20
Hawksbills,Zouks,Zouks,17 runs,North Sound,"Aug 15, 2013",T20
Zouks,Red Steel,Red Steel,6 wickets,Kingston,"Aug 17, 2013",T20
Tallawahs,Tridents,Tallawahs,6 wickets,Kingston,"Aug 17, 2013",T20
Hawksbills,Amazon,Amazon,5 wickets,North Sound,"Aug 17, 2013",T20
Tallawahs,Red Steel,Tallawahs,3 wickets,Kingston,"Aug 18, 2013",T20
Amazon,Red Steel,Amazon,7 wickets,Port of Spain,"Aug 22, 2013",T20
Tallawahs,Tridents,Tallawahs,7 wickets,Port of Spain,"Aug 23, 2013",T20
Tallawahs,Amazon,Tallawahs,7 wickets,Port of Spain,"Aug 24, 2013",T20
